element_type,osmid,name,tourism,geometry,name:ca,wikidata,wikipedia,addr:housenumber,addr:street,wheelchair,barrier,addr:city,addr:postcode,museum,opening_hours,operator,operator:type,phone,website,nodes,building,alt_name,man_made,source,source:date,email,name:es,charge,fee,check_date:opening_hours,opening_hours:signed,name:en,name:de,image,architect,heritage,heritage:operator,historic,listed_status,start_date,official_name:ca,official_name:es,toilets:wheelchair,access,wikimedia_commons,ways,type,level,name:it,ref,source:file,source:name,source:ref,subject,addr:housename,height,smoking
node,458438670,Centre d'Interpretació del Parc Nacional de Cabrera,museum,POINT (2.9996308 39.3186048),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1862699465,Museu Arqueològic de Son Fornés,museum,POINT (2.9871462 39.5717987),Museu Arqueològic de Son Fornés,Q20968892,ca:Museu Arqueològic de Son Fornés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3739699851,Pare Rafel Ginard,museum,POINT (3.0373718 39.5980757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3781277875,,museum,POINT (2.9260693 39.5276292),,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10215726791,Korkenzieher Museum Mallorca,museum,POINT (3.0864963 39.5695902),,,,7,carrer de Bonany,,,Vilafranca de Bonany,07250,art,We 10:00-15:00,Hanne Holze,private_non_profit,+34 601 980012,https://dasanderemallorca.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,86259184,,museum,"POLYGON ((3.0228306 39.5179592, 3.0230404 39.518003, 3.023057 39.5179557, 3.0230064 39.5179452, 3.0230258 39.51789, 3.0228665 39.5178568, 3.0228306 39.5179592))",,,,,,,,,,,,,,,,"[1001307003, 1001307157, 1001307136, 1001307108, 1001307082, 1001306980, 1001307003]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98825969,Museu d'Història de Manacor,museum,"POLYGON ((3.2179218 39.5581996, 3.2181531 39.5580021, 3.2178745 39.5578081, 3.2176431 39.5580056, 3.2179218 39.5581996))",,,,,,,,,,,,,,,,"[1143177671, 1143177404, 1143177412, 1143177383, 1143177671]",yes,torre dels Enagistes,tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,331199457,,museum,"POLYGON ((3.2108683 39.5685186, 3.210871 39.5685201, 3.2109736 39.5685798, 3.2109767 39.5685758, 3.210978 39.5685766, 3.2110419 39.5686171, 3.2110424 39.5686175, 3.2110498 39.5685614, 3.2110582 39.5684972, 3.2110497 39.5684955, 3.2110498 39.5684953, 3.2110511 39.5684945, 3.2109472 39.5684317, 3.2109424 39.5684367, 3.2108683 39.5685186))",,,,,,,,,,,,,,,,"[3382548349, 3382548350, 3382548363, 3382548360, 3382548361, 3382548364, 3382548365, 3382548305, 3382548342, 3382548339, 3382548338, 3382548336, 3382548323, 3382548326, 3382548349]",,,,catastro,2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,383962871,Fundació Antoni M. Alcover,museum,"POLYGON ((3.2081038 39.5683952, 3.2083593 39.5684955, 3.2084564 39.5683203, 3.2083472 39.5682845, 3.2082781 39.5684143, 3.2081194 39.5683632, 3.2081038 39.5683952))",Fundació Antoni M. Alcover,,,,,,,,,,,,,,,"[3872655278, 3872655279, 3872655280, 3872655281, 3872655282, 3872655283, 3872655278]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,445121088,Els Calderers,museum,"POLYGON ((3.0624983 39.5865509, 3.0626027 39.5867757, 3.0626986 39.586957, 3.0628031 39.5870537, 3.0629547 39.587145, 3.0631463 39.5871933, 3.0634686 39.5872255, 3.0637666 39.5872457, 3.0640314 39.5872645, 3.0641448 39.587264, 3.0642265 39.587247, 3.0644251 39.5871382, 3.0646342 39.5869852, 3.064798 39.5868012, 3.064752 39.5867616, 3.0647248 39.5867381, 3.0647492 39.5867032, 3.0647461 39.5866657, 3.0647439 39.5866401, 3.0648572 39.5865327, 3.0649203 39.5863731, 3.0649622 39.5862476, 3.0650123 39.5860977, 3.0640714 39.585946, 3.0640261 39.5861138, 3.0624983 39.5865509))",Els Calderers,,de:Els Calderers,,,,fence,,,,10:00-18:00; Nov-Mar 10:00-17:00,,,,http://elscalderers.com/,"[4425892519, 4425892575, 4425892592, 4425892604, 4425892617, 4425892623, 4425892627, 4425892628, 4425892633, 4425892632, 4425892629, 4425892615, 4425892597, 4425892579, 4425892572, 4425892567, 4425892557, 4425892550, 4425892542, 4425892511, 4425885654, 4425885618, 4425885602, 4425885593, 4425885605, 4425892519]",,,,,,comercial@elscalderers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
