element_type,osmid,historic,name,tourism,geometry,layer,access,name:de,name:en,name:hu,source,start_date,nodes,addr:city,addr:conscriptionnumber,addr:postcode,addr:street,addr:subdistrict,addr:suburb,architect,description,direction,ele,fee,heritage,man_made,material,opening_hours,opening_hours:covid19,operator,phone,ref,survey:date,tower:construction,tower:type,url,url:muemlekem,website,alt_name,building,wikidata,wikipedia,artist_name,image,inscription,name:es,name:pl,name:ro,name:ru,name:zh,wheelchair,inscription:de,abandoned:military,addr:country,addr:housenumber,contact:email,contact:facebook,contact:mobile,contact:website,height,artwork_subject,reservation,url:kozterkep,ways,name:cs,name:ko,type,natural,addr:district,addr:province,note,url:geocaching.hu,area,building:colour,roof:colour,roof:shape,architect:wikidata,commemorates:wikidata
node,1119237560,monument,Francia emlékmű,attraction,POINT (18.2268445 46.0879677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3389468074,monument,,,POINT (18.5016152 45.8201281),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,312768345,monument,Millenniumi emlékmű/Háromágú,,POINT (18.4640145 47.2023006),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2309698674,monument,Mátyás király emlékmű,,POINT (18.4090169 47.1933049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9879767110,monument,Régi nyomóskút,,POINT (18.4640519 47.0055425),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,235380270,monument,Zsitvay-kilátó,viewpoint,"POLYGON ((18.9922885 47.79552, 18.9921757 47.795521, 18.9921416 47.7955535, 18.9921423 47.7955933, 18.9921778 47.7956252, 18.9922905 47.7956242, 18.9923247 47.7955917, 18.9923239 47.7955519, 18.9922885 47.79552))",,yes,,,,survey,1933,"[582631741, 2434471922, 2434471924, 2434471927, 2434471930, 2434471931, 2434471928, 2434471925, 582631741]",Visegrád,0125/20,2025,Feketehegy utca,Pilis-hegység,Nagyvillám,Hannig;Uzvölgyi,"Nevét Zsitvay Tiborról (1884-1969) kapta, aki a XX. század egyik kiemelkedő személyisége(Igazságügyi Miniszter, Magyar Turista Szövetség Elnöke",0-360,378,yes,2,tower,reinforced_concrete,Apr 15-Oct 15: Tu-Su 10:00-18:00; Oct 16-Apr 14: Sa-Su 10:00-16:00,closed,Pilisi Parkerdő ZRt,+36 70 623 4080,Műemléki azonosító: 11692;törzsszám: 11175,2021-02-21,freestanding,observation,https://www.visegrad.hu/turizmus/latnivalok/nevezetessegek/zsitvay-kilato,https://muemlekem.hu/muemlek/show/11692,https://parkerdo.hu/turizmus/latnivalok/zsitvay-kilato/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,734161660,monument,Kőkapu,,"POLYGON ((19.1220626 47.7836083, 19.1221329 47.7836424, 19.1221835 47.7836669, 19.1222175 47.7836352, 19.1221683 47.7836114, 19.1220966 47.7835766, 19.1220626 47.7836083))",,,,,,,1764,"[6875403285, 6875403289, 6875403286, 6875403287, 6875403290, 6875403288, 6875403285]",,,,,,,Isidore Canevale,,,,,,,stone,,,,,,,,,,,,Váci diadalív,triumphal_arc,Q1461340,hu:Váci diadalív,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1488974596,monument,Szabadság-szobor,attraction,POINT (19.0480283 47.4867446),,,Freiheitsstatue,Liberty Statue,,,1947-04-05,,,,,,,,,"A megszálló szovjet vezető Vorsilov marsall felügyelte, a helyszínválasztásról és a gigantikus méretekről is ő döntött. A szobornak nagyobbnak kellett lennie, mint Szt.Gellért-emlékmű. A rendszerváltás után a szobor jelentését 1992-ben átértelmezték",,,,,,stone;metal,,,,,,,,,,,https://www.kozterkep.hu/~/168/Szabadsag_szobor_Budapest_1947.html,Felszabadulási emlékmű,,Q933182,hu:Szabadság-szobor (Budapest),Kisfaludi Strobl Zsigmond,https://image.ibb.co/haKi9n/IMG_3282.jpg,"1992 új feliirat: ""Mindazok emlékére akik életüket áldozták Magyarország függetlenségéért szabadságáért és boldogulásáért.""",Estatua de la Libertad,Statua Wolności,Statuia Libertății,Статуя свободы,自由女神像,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7999477044,monument,Elűzöttek emlékműve,,POINT (18.7179679 47.5467122),,,,,,,,,,,,,,,,,,,,,,stone,,,,,,,,,,,,,,,,,,"Az 1946-ban Zsámbékról elűzött 3700 sváb lakos, és a hazájukból, szülőföldjükről elűzöttek és elhurcoltak emlékére",,,,,,,Zum Gedenken an die 1946 vertriebenen 3700 Schambeker Schwaben und an alle auf ihrer Heimat Verschleppten and Vertriebenen,,,,,,,,,,,,,,,,,,,,,,,,,,
way,256053165,monument,Málenkij Robot emlékhely,museum,"POLYGON ((19.0886867 47.4694982, 19.0886963 47.4693784, 19.0887153 47.4693669, 19.0887185 47.469367, 19.0887899 47.4693696, 19.0888775 47.4693729, 19.0888952 47.4693864, 19.0888866 47.4694932, 19.0888854 47.4695079, 19.0888664 47.4695197, 19.0887059 47.4695138, 19.0886867 47.4694982))",,,,,,Bing,2017,"[8762647443, 8762647450, 8762647449, 8762665867, 8762647427, 8762647448, 8762647447, 8888407808, 8762647446, 8762647445, 8762647444, 8762647443]",Budapest,,1097,Fék utca,,,,Egy hatalmas bunkerből alakították át,,,,,,,,,Magyar Nemzeti Múzeum,,,,,,https://mnm.hu/hu/kiallitohelyek-tagintezmenyek/mnm-malenkij-robot-emlekhely,,https://malenkij.hu/,,bunker,,,,,,,,,,,,,bunker,HU,6,malenkij@mnm.hu,https://www.facebook.com/malenkijrobotemlekhely,+36 30 701 5223,http://iho.hu/hir/megneztuk-a-malenkij-robot-emlekmuvet-170310,15,,,,,,,,,,,,,,,,,,
