element_type,osmid,name,tourism,geometry,source,addr:city,addr:housenumber,addr:postcode,addr:street,website,wikidata,wikipedia,addr:country,nodes,fee,highway,inscription,layer,lit,opening_hours,start_date,surface,tunnel,building,note,email,phone,shop,contact:phone,source:wheelchair,wheelchair,wheelchair:description,level,air_conditioning,facebook,name:de,name:en,name:es,name:hu,name:it,name:ru,name:zh,operator,barrier,amenity,fax,club,disused:addr:city,disused:addr:country,disused:addr:housenumber,disused:addr:postcode,disused:addr:street,disused:amenity,flickr,internet_access,internet_access:ssid,short_name,chip_scanner,toilets:wheelchair,name:pl,cuisine,contact:facebook,contact:website,description,dog,free_refill,owncup,owncup:discount,alt_name,capacity,contact:email,official_name,official_name:en,ref:google,contact:foursquare,historic,url,name:cs,name:da,name:el,name:fi,name:fr,name:hr,name:ie,name:ja,name:la,name:nl,name:no,name:pt,name:ro,name:se,name:sk,name:sl,name:sr,name:uk,is_in:city,is_in:country,contact:tripadvisor,check_date:opening_hours,artwork_type,indoor,leisure,source:geometry,building:levels,int_name,old_name,architect,building:colour,building:material,roof:colour,roof:levels,roof:material,roof:shape,wikipedia:hu,architect:wikipedia,contact:fax,office,source:start_date,ways,type,heritage,source:date,addr:subdistrict,loc_name,fixme,opening_hours:signed,operator:type,charge,mobile
node,3419780596,Martyn Ferenc Galéria,gallery,POINT (18.2278645 46.0759193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3419780599,Múzeum Galéria,gallery,POINT (18.2260637 46.0792987),https://artportal.hu/lexikon-intezmeny/muzeum-galeria-pecs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3419780600,Nádor Galéria,gallery,POINT (18.2284445 46.0769442),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3419780602,Pécsi Galéria,gallery,POINT (18.2273698 46.0764579),,Pécs,11,7621,Széchenyi tér,https://www.pecsigaleria.hu/,Q1242789,hu:Pécsi Galéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3419780633,Pécsi Nagygaléria,gallery,POINT (18.2480678 46.0786041),,,,,,https://www.pecsigaleria.hu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9404372444,Király 51 Galéria,gallery,POINT (18.2349443 46.0773858),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9831261044,Siklós galéria,gallery,POINT (18.2986831 45.8543425),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4384524393,Johann Lux Stallgalerie,gallery,POINT (18.4802383 46.4991883),,Kalaznó,94,7194,Béke utca,,,,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3731489520,Szoborpark,gallery,POINT (18.0183727 47.0278287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4126600452,Képcsarnok,gallery,POINT (18.409414 47.1939975),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4170281669,Csók István Képtár,gallery,POINT (18.4079557 47.192721),,Székesfehérvár,1,8000,Bartók Béla tér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,177385958,VasútARTjáró,gallery,"LINESTRING (18.0154821 47.0282297, 18.0154444 47.0283104, 18.0153578 47.0284912, 18.01519 47.0288692)",,,,,,,,,,"[6536758081, 1485961186, 1485961211, 1878357586]",no,footway,1975,-1,yes,24/7,1975,concrete,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,181623477,Nagy Gyula Galéria,gallery,"POLYGON ((18.141236 47.2005172, 18.1410595 47.2004506, 18.1408637 47.2006903, 18.1410402 47.2007569, 18.141236 47.2005172))",,Várpalota,3,8100,Szent István útja,,,,,"[1920354139, 1920354160, 1920354133, 1920354055, 1920354139]",,,,,,,,,,synagogue,Az egykori zsinagóga épülete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,295286913,Lovasi Nagy Gyula Galéria,gallery,"POLYGON ((17.958285 46.9932729, 17.9583404 46.9931912, 17.9581572 46.9931334, 17.9581018 46.9932152, 17.958285 46.9932729))",survey,Lovas,12,8228,Fő utca,,,,HU,"[2989910374, 2989910357, 2989910340, 2989910360, 2989910374]",,,,,,Sa-Su 14:00-17:00,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,696116328,VasútARTjáró,gallery,"LINESTRING (18.0154863 47.0282206, 18.0154821 47.0282297)",,,,,,,,,,"[1878357569, 6536758081]",no,footway,,-1,yes,24/7,,concrete,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
